xObs,xMean,xMedian,xRMS,xSigma
-99.4199999999997,3.9625411849496294e-05,1.2622193960976127e-09,3.519894411028067e-09,0.00011980106439490575
-99.4099999999997,4.034254383362317e-05,1.2647107806227862e-09,3.5265974741060045e-09,0.00012196803918155434
-99.3999999999997,4.1060826162338726e-05,1.2672070826740713e-09,3.533313302070959e-09,0.0001241384525849363
-99.38999999999969,4.17802588356434e-05,1.2697083119577517e-09,3.540041919231569e-09,0.0001263123046050512
-99.37999999999968,4.2500841853537405e-05,1.2722144781992518e-09,3.5467833499427656e-09,0.00012848959524190033
-99.36999999999968,4.3222575216019877e-05,1.2747255911432097e-09,3.5535376186058593e-09,0.0001306703244954811
-99.35999999999967,4.3945458923092115e-05,1.2772416605534802e-09,3.5603047496686286e-09,0.00013285449236579653
-99.34999999999967,4.4669492974753035e-05,1.279762696213208e-09,3.5670847676254093e-09,0.0001350420988528449
-99.33999999999966,4.5394677371003505e-05,1.2822887079248294e-09,3.5738776970171827e-09,0.0001372331439566275
-99.32999999999966,4.612101211184244e-05,1.2848197055101472e-09,3.580683562431665e-09,0.0001394276276771413
-99.31999999999965,4.684849719727071e-05,1.2873556988103328e-09,3.5875023885033945e-09,0.00014162555001439063
-99.30999999999965,4.7577132627287444e-05,1.2898966976859997e-09,3.5943341999138223e-09,0.0001438269109683716
-99.29999999999964,4.830691840189373e-05,1.2924427120172073e-09,3.6011790213914005e-09,0.00014603171053908723
-99.28999999999964,4.903785452108913e-05,1.2949937517035332e-09,3.6080368777116748e-09,0.00014823994872653493
-99.27999999999963,4.976994098487386e-05,1.297549826664078e-09,3.6149077936973693e-09,0.0001504516255307173
-99.26999999999963,5.0503177793247275e-05,1.3001109468375378e-09,3.6217917942184806e-09,0.00015266674095163217
-99.25999999999962,5.1237564946209806e-05,1.3026771221822134e-09,3.628688904192366e-09,0.00015488529498928127
-99.24999999999962,5.1973102443761236e-05,1.30524836267606e-09,3.635599148583833e-09,0.00015710728764366244
-99.23999999999961,5.270979028590178e-05,1.3078246783167426e-09,3.642522552405231e-09,0.00015933271891477785
-99.2299999999996,5.344762847263123e-05,1.31040607912164e-09,3.649459140716541e-09,0.00016156158880262488
-99.2199999999996,5.418661700395044e-05,1.312992575127923e-09,3.656408938625467e-09,0.00016379389730720745
